amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,test,url
350,Help papaw and I see color with Enchroma glasses,U.S. Dollar,,of $1.1k goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/a1IDn3
450,Help Josh with red-green colorblindness!,U.S. Dollar,"Nov 24, 2017",of $400 goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/f1Horf
100,Help Popo and his grandson James see the colors,U.S. Dollar,"Dec 17, 2017",of $700 goal,1,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/Popo-and-James
900,Chemonkey,U.S. Dollar,"Dec 31, 2017",of $25k goal,12,"Cancer is an illness that change the life of who is living
  it , and the people who is surround. Due to this pathology,
  the routine, habits and custom of the child and the family, are
  strongly altered. Chemonkey is a project for kids who are living chemotherapy process,
  during the investigation, we realized that there wasn't any
    guide that the parents could use to explain their kids what
  they were living or were about to live. This is a hard task to do,
  because they don't know how to do it and the proper words to use. The
  main aim of this project is to ensure the kid's emotional well-being,
  to improve his experience and also to prepare him, so that he can
  face, in a better way, all the process. Chemonkey works as a tool for explaining, by an optimistic way and
  with proper words, the treatment and the side effects of it. So kids
  could understand their illness. The main character of the book is a
  monkey, who already lived the treatment, it shares his experience and
  will be their new best friend, who will share all this time with them.
  It increases kid's well being and help them to say their feelings,
  what really matters during this time. (We tested the prototypes with three kids, in all of them
    increased their self esteem , some of them believed that if her monkey could do it, she could
    too. They became brave and stop cover their eyes because of the
    needles. Also, it helps to the parents, because kids reflected
    themselves in the monkey, so if the monkey wants to sleep, they are
    trying to say that they're tired, so that is really helpful for the
    parents to know the emotions of their child) Please consider giving a donation to this project, any amount will
  help. Whether you can give or not, please share this widely with
  friends on facebook, twitter, e-mail, or any other social media. The more people who see this project, more kids will be
  happy - developing physical, emotional, spiritual, mental and
  social strength in the kids who receive this kit. The monkey hangs in their neck and chest, so it protects their port.",true,https://fundrazr.com/chemonkey
350,Best Christmas for Aaron with Enchroma glasses,U.S. Dollar,,of $450 goal,8,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions Save Save",true,https://fundrazr.com/a1HN5f
380,Disabled Person Needing Break From Abuse At Work,U.S. Dollar,"Jan 9, 2018",of $2k goal,5,"I need to take a mental health break from work because of the amount
  of abuse I go through to be there. To take a month off from work, I
  would just need $1200. I'd also like to acquire the means to defend
  myself from abuse before going back again. I'd also like to buy my friend's car. I need a car because without
  one, I don't eat well. I can't prepare proper meals because of
  executive dysfunction & I can't walk to food because of physical
  Disability. I'm basically trapped at my place eating barely enough all
  day while my partner is at work. My friend said they would sell me
  their car for just $800, but I haven't been able to save up enough to
  buy it. Please help me out by sharing or donating. To be okay for the month, I need $300 by the 20th & another $900
  by the 1st of December.",true,https://fundrazr.com/81Ie7f
315,Help Bryce Murphy see in color for the first time!,U.S. Dollar,"Dec 14, 2017",of $429 goal,10,"As many of you know, Bryce has been
    traveling the continent over the past year in an outfitted school
    bus, feeding his appetite for adventure. From working as a seasonal
    mountain guide in Skagway, Alaska to climbing at the Red River Gorge
    in Slade, Kentucky, he has been hoarding exciting experiences and
    showing the world how rewarding wanderlust can be. (If you aren’t
    already, you can follow him and his friends’ expeditions on Facebook
    via ""Greasehound Adventures"" or on Instagram via @greasehoundadventures.) What you may not know is that Bryce is actually red-green
      color blind, meaning his eyes’ retinal cone cells don’t respond to
      specific light frequencies, barring hi m from being able to tell many colors apart. Using color
      vision science and optical technology, Enchroma glasses are “the
      only specialty eyewear that alleviates red-green color blindness,
      enhancing colors without the compromise of color accuracy.” Here’s where your support comes in: by donating to this
      *SECRET* fundraiser for a pair of Enchroma glasses, you can help
      Bryce experience the world in full color for the very first time!
      Any contribution, big or small, is greatly appreciated. Unable to
      donate? No worries—just invite any additional friends and/or
      family that may want to help. We have one month (fundraiser ends
      December 14th) to raise $429 so we can surprise him with a pair of
      these bad boys on Christmas Day. Thank you in advance for your
      support; this is going to mean the world to Bryce! Feel free to contact me (Hi, I'm Bryce's girlfriend) with
      any questions, or if you'd like to send a personal message to
      Bryce along with your donation. Photos courtesy of Bryce via
      @greasehoundadventurers and Drew Mercer via @drewerd_. Thanks again! Nicole Barone",true,https://fundrazr.com/b1Ii6b
300,Enchroma Sunglasses for Scott's Birthday!,U.S. Dollar,,of $350 goal,13,"Scott has always joked with me whenever I wear something green or
  red that he can't tell what color it is, but when we've been on hikes
  he actually doesn't see the red wildflowers in the field until I point
  them out and then he mostly takes my word for it. I'm sure all of his
  friends have had similar experiences as well but I think he would
  actually LOVE being able to see more with these glasses which is why... How can you help? I think it would be great to get him a collective gift from his
  family and close friends, a pair of Enchroma sunglasses. Enchroma has
  created glasses which enhance color vision without the compromise of
  color accuracy with people with color blindness. And I've already had
  Scott take their test to determine what KIND of color blindness he has
  and how effective the glasses might be. I can think of no better gift to give this guy for his birthday
  than some swanky sunglasses that'll let him see what kind of apple
  he's eating and a lot more of the natures beauty too. Any level of contribution helps friends! Best, Kelly Check out these reactions:",,https://fundrazr.com/scootersrum
100,Help me get Enchroma glasses,U.S. Dollar,,of $349 goal,2,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/e1Ih13
360,*SECRET* Help John see Christmas in true color!,U.S. Dollar,"Dec 13, 2017",of $450 goal,8,"Cannot stress enough that this is a
      secret.  PLEASE do not share this with him. Original goal is to purchase
      Enchroma sunglasses.  Any funds received over the original goal
      will go towards a second pair intended for indoor use once we know
      they work for him.  Although I'm sure everyone will want to see a
      video of his reaction, I cannot guarantee it as John isn't big on
      ""publicity"".  However, I will be sure to share the details** WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/e1Ihu6
290,Help my father see color,U.S. Dollar,"Dec 24, 2017",of $349 goal,7,"My dad has never been able to see color the way most people have and
  he has always spoken about how much it would mean to him to one day
  see the color of rocks as we do, or the color of our eyes, or the
  shade lipstick my mom is wearing.",,https://fundrazr.com/f1IjSc
550,Levi's Campaign to see the World in true colors.,U.S. Dollar,"Apr 18, 2018",of $550 goal,6,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/e1IDAe
195,Help my dad see color with Enchroma glasses!,U.S. Dollar,"Dec 4, 2017",of $350 goal,3,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/e1IAD5
