amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
290,Help my father see color,U.S. Dollar,"Dec 24, 2017",of $349 goal,7,"My dad has never been able to see color the way most people have and
  he has always spoken about how much it would mean to him to one day
  see the color of rocks as we do, or the color of our eyes, or the
  shade lipstick my mom is wearing.",https://fundrazr.com/f1IjSc
"2,790",For the Love of Ben Durst,U.S. Dollar,,of $36.9k goal,35,"For those of you who do not know Ben Durst personally, I am sorry.
  For those of you that do know Ben, I am still sorry. But you know
  why..... (lol) Ben hit a cold reality when he was recently diagnosed with bladder
  cancer. It was a shock to say the least. He is too young and not ready
  to stop making people laugh. He wants to fight.  But he has a problem..... Ben is on Medicare. He does not have prescription drug coverage. The
  one medication he has to take at home to build his white blood cells
  after the chemo kills them off is $4,752 a prescription. He has 7
  refills. That's $33,264 for this prescription for his 4 cycles of
  chemo, and the month after. If he does not get this medication, the
  chemo will surely kill him. This medication will help him fight off
  infection since his white blood cells will no longer have those
  capabilities. There are organizations that will help, and he is in
  communication with them.  However, they are slow to reply and he needs
  to be sure he has financing. He was able to get the first prescription free. Ben has always had 2 goals in life... The first goal is to laugh and
  make others laugh. He went to the hospital telling people he was
  worried about a certain test because he didn't get to study for it. Of
  course, everyone laughed. He loves having parties and getting family
  together. He is always there for his Mom Evelyn, and his sister Lisa.
  He takes care of me, the house and my parents. Ben is a big guy with
  an even bigger heart. His other goal is to work. He is a truck driver and loves being on
  the road. He makes overnight deliveries while seeing the country. An
  active member Fraternal Organization of Eagles #3138 (Taylor, MI), he
  has often stopped in clubs around his delivery locations just to
  support the organization. All he wants to do now is get back to work
  and feel whole again. I am Suzette Pariseau and I have been Ben's better half for more
  than 6 years.  I am an ESL teacher and can take time off work to help
  him, but I do not get paid for the time I take off. Financially, I
  have to take care of our regular bills to keep us afloat.  Ben is also
  a proud man and would never ask for monetary help, so I am doing it
  for him. If you can donate and help him pay for his medications, it
  would be greatly appreciated.  Any amount would help. If you need any
  more information than what I have already posted, or would prefer to
  send a donation via snail-mail, please email me at parisuze@yahoo.com , or Cancer2017SUCKS@yahoo.com . Thank you for your generosity. Everyone loves a comedian. Please help keep Ben Durst laughing....",https://fundrazr.com/helpBenDurst
"8,530",SMA fundraising challenge. 15 PLN - £3 for Adaś.,Polish Zlotych,,of zł500k goal,89,"My name is Ania. I am proud to introduce you a brave, little boy Adaś
  who was born with Spinal Muscular Atrophy (SMA) Type 1. Spinal Muscular Atrophy (SMA) ( http://www.nhs.uk/conditions/Spinal-muscular-atrophy/pages/introduction.aspx )
   is a genetic disease that causes muscle weakness and progressive loss
  of movement. Type 1 is the most severe and in most cases causes severe
  respiratory problems which means that children rarely survive beyond
  two years of age. 1 in 5000 children is born with SMA around the world. Please join this SMA fundraising challenge and help Adaś to continue
  his experimental therapy treatment. Adaś Skrzypek  was born just
  before Christmas with the worst type of SMA, type 1. His parents were
  told that he would not reach his first birthday. The doctors informed
  them that there is no cure for SMA at the moment and all they could do
  was to wait for the worst, while his muscles slowly withered away
  until his respiratory system failed and cause Adaś to suffocate. But,
  despite terrifying diagnosis, Aneta and Tomasz Skrzypek, Adaś’s
  parents didn’t give up. They started a daily rehabilitation regime for
  Adaś and started searching around the world for a cure. Adaś's
  condition deteriorated quickly which meant he was no longer offered
  experimental therapies in Europe. He was now not able to swallow or
  breathe properly and was fitted with a tracheotomy tube. Adaś nearly
  died several times but he is a little fighter and was able to start an
  experimental therapy which his parents had found. They didn’t give up
  after being refused help in Europe and they searched around the world
  finally coming across a new treatment in America. The therapy involves
  an injection every 45 days and oral medications in between. Adaś was
  given the first injection just before he turned 6 months old. And a
  tiny mirracle had happened!! Adaś was able to breathe for 20 minutes
  all by himself for the first time in a very long time. He was also
  able to slightly move his head and suck a dummy. There is a realistic
  chance that the experimental therapy that Adaś is receiving will be
  successfull. But unfortunately the cost of the treatment have exceeded
  his parents financial capabilities. The cost of it is 80000 polish
  zlotych (£15,000) every 45 days, and this sum will increase once the
  doses get stronger. By helping Adaś, we are helping children around the world who have
  been or may be born with incurable SMA. We can make a difference and
  change the world. We are giving hope to all the parents who were told
  that the only thing they could do was to give up and wait for the
  worst. Please help by donating any amount in polish zlotych (PLN) or
  the equivalent in another currency and sharing it on Facebook. We can
  spread the word and be a part of something amazing!! We can save
  children all around the world. * You are most welcome to donate as much as you wish. FundRarz and
  PayPal take a fee from each donation: On a £1.00 (5 PLN) transaction, the fee charged will be £0.28 On a £5.00 (25 PLN) transaction, the fee charged will be £0.60 On a £100.00 (500 PLN) transaction, the fee charged will be £8.10 If you don't have PayPal acount you can pay by debit or credit card
  as well. You can also visit Adas's facebook site for alternative forms
  of donation: https://www.facebook.com/togetheragainstSMA/ Rdzeniowy zanik mięśni (Spinal Muscular Atrophy -SMA), to choroba
  neurodegeneracyjna, skutkująca postępującym upośledzeniem mięśni
  szkieletowych, a w ciężkich przypadkach prowadząca do śmierci. Typ 1,
  wczesnodziecięcy jest najpoważniejszy. Objawy choroby pojawiają sie
  zaraz po urodzeniu lub do szóstego miesiąca życia. Dziecko rzadko ma
  szansę przeżycia dwóch lat. 1 na 5000 dzieci na świecie rodzi sie z SMA. Adaś Skrzypek jest malutkim chłopczykiem, który urodził się 20
  grudnia 2015 roku w Tarnowie. Adaś jest chory na SMA typ 1. Jego
  rodzice, Aneta i Tomasz Skrzypek, przed Wigilią dowiedzieli się, że
  ich długo wyczekiwany synek może nie doczekać swoich pierwszych
  urodzin. Lekarze nie dawali Adasiowi żadnych szans. Jedyne co Państwo
  Skrzypek mogli zrobić, to poddać się i czekać, aż mięśnie Adasia
  zwiotczeją, a uklad oddechowy przestanie działać i Adaś sie udusi.
  Jednak rodzice Adasia z pełną determinacją podjęli poszukiwania
  eksperymentalnej terapii w Europie, która dałaby szansę Adasiowi.
  Niestety po początkowym zakwalifikowaniu Adasia do jednej z terapii,
  stan chłopca pogorszył sie na tyle, że odmówiono jego leczenia. Adaś
  był kilka razy bliski śmierci, ale jest malutkim wojownikiem i przeżył
  po to, by móc wziąść udział w eksperymentalnej terapii, którą znaleźli
  jego rodzice. Nie poddali sie kiedy odmówiono Adasiowi leczenia w
  Europie i rozpoczęli poszukiwania na szeroką skalę na całym świecie,
  aby wreszcie znaleźć nadzieję w Ameryce. Chłopczykowi zaproponowano
  terapię w trakcie, której co 45 dni dostaje zastrzyk, a w między
  czasie przyjmuje leki doustne. Adaś pierwszy zastrzyk dostał niedługo
  przed swoim 6 miesiącem życia. I stał sie maleńki cud!! Adaś był w
  stanie samodzielnie oddychać przez 20 minut, czego nie mógł robić już
  od długiego czasu. Mógł również lekko poruszać główką i trzymać
  smoczek w buźce. Nie mógł tego robić od wielu tygodni. Jest realna
  szansa, że ta eksperymentalna terapia, której Adaś jest poddawany,
  będzie zakończona sukcesem. Niestety, koszt terapii przerósł
  możliwości finansowe rodziców Adasia. Jej koszt, to 80 tysięcy złotych
  co 45 dni. Może to ulec zwiększeniu, kiedy dozy staną się mocniejsze.
  Pomagając Adasiowi, pomagamy dzieciom na całym świecie, które już są
  lub urodzą się chore na nieuleczalną chorobę rdzeniowego zaniku mięśni
  (SMA). Możemy zmienić ich świat i dać nadzieję rodzicom, którym
  powiedziano, że jedyną rzeczą, którą mogą zrobić, to poddać się i
  czekać na najgorsze. Proszę, pomóżcie Adasiowi wpłacając datki w
  złotówkach lub ich równowartość w innych walutach i udostępniając to
  na Facebooku. Możemy rozpowszechnić informację o Adasiu i być częścią
  czegoś wspaniałego!! Możemy wspólnie uratować dzieci na całym świecie!! * Jeśli są Państwo w stanie wplacić więcej niż 2 funty, to serdecznie
  dziękujemy.                                                          
                                 FundRarz i PayPal pobiera opłatę od
  każdego datku. Od £1.00 (5 PLN) jest to £0.28 Od a £5.00 (25 PLN) jest to £0.60 Od a £100.00 (500 PLN) jest to £8.10 Osoby nie posiadające konta PayPal mogą również zapłacić kartą
  debetową lub kredytową. Zapraszam również do odwiedzenia strony Adasia
  na Facebooku: https://www.facebook.com/RazemprzeciwSMA/ . Tam
  znajdą Państwo alternatywne formy płatności.",https://fundrazr.com/018wDe
225,Let Danny finally see colors this Christmas!,U.S. Dollar,"Dec 10, 2017",of $400 goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/21IB5b
125,The chance for a 73 old man to finally see colors,U.S. Dollar,,of $349 goal,1,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/51I1N9
"7,766",Road to Healing: Help Col with treatment and life!,U.S. Dollar,,of $42k goal,70,"A Message from Maria ... When I picture my friend Col, I envision light—a beautiful, warm,
  loving light. Her aura glows with this willingness to understand and empathize. That’s one of the reasons why this disease she has been battling is
  so difficult for me to come to grips with. It seems to be literally
  eating away at the insides of her physical body, and yet her mind and
  her spirit still keep glowing—still keep pushing on—despite the daily
  obstacles she faces. Col does not like to complain so she doesn't want us to list all of
  her symptoms, which are many. When you see her smiling and laughing
  with you, she's doing it amidst great pain and discomfort. Often it
  feels like she's dying. A number of her doctors don't take insurance and need to be paid out
  of pocket (just one office visit can cost $600!) and the treatment
  they prescribe is also not covered by insurance. She has been sick for
  numerous years so you can imagine the toll that that takes. Her illness is not something you'd know about unless you are close to
  her. But it's very serious and it severely impedes her quality of
  life. And her closest friends and family are very concerned— *We want her to be with us for years to come!* Please join me in doing what you can to help Col win this war within
  her body and pave her road to healing. A Message from Sue Elliott ... Have you ever met somebody — even online — and instantly loved that person? I’m not talking about lust. I’m not even talking about appreciation. What I mean is some sort of deep, soul-level recognition. A
  feeling like “home,” like “It’s so good to see you again after all
  these years! I do so adore you!” That’s how I felt about Col the first time I saw her photo and
  read a comment she had posted online in a business-oriented group
  years ago. Since then, I’ve gotten to know Col “better,” and I still have
  that same feeling. She’s like a cross between an angel, a friend and a sister! We have amazing conversations in which we both let go of all
  kinds of “stuff” that no longer serves us and we experience huge AHA moments! If you had asked me a year or so ago how I felt about Col, I
  would have told you that she’s a dear, dear friend, at the very least. And yet, as close as we had gotten on so many levels, I
  had NO idea that Col was often in severe physical pain. Not only does she not complain about pain, she’s so genuinely
  joyful and inspired and inspiring, it never dawned on me that she
  could be anything but energetic and “healthy.” Her very being exudes well-being! Col wrote a beautiful blog post that illustrates her approach to
  life and living, even in the midst of pain... even in the midst of
  illness. Please take a couple minutes to be inspired by the beauty of
  Col’s approach to — and dance with — life: Dancing in the Rain . Throughout the pain and the illness, Col has been giving to
  others in the most magnificent way. She created a FREE program called Magical Medical Mystery Tour , in which she
  interviewed amazing healers of all kinds. She created a forum in which
  these experts shared their wisdom freely with anyone who cared to
  participate. The gift of these interviews continues to unfold within
  me and, I’m sure, within all who were game for the adventure. So when Col told me that she now has one or two Western medical
  doctors for EACH of her organs! —and as much as she loves and
  appreciates them, Western medicine doesn’t seem to be working for her
  particular illness — I didn’t have to ask if she had tried natural and
  alternative healing modalities. I knew she had — with joy and
  enthusiasm and insight ... And yet, her body still has more to say — more insights to
  reveal — and it wants to reveal those insights and that wisdom through
  biological medicine. Col has received many “nudges” from the universe
  pointing her in that direction — and this is a woman who KNOWS how to
  listen to and dance with the universe. Like all great dances, it’s a two-way experience. There is
  giving and receiving. And there is constant expansion. One of the most obvious — and magnificent — benefits of this
  expansive dance with the universe and with pain and illness has been
  creativity. Everything that Col learns and experiences goes deep
  within her being and comes out as ART! Art with spirit. Art with soul. Art with purpose. And art that
  is infused with the energy of healing and a return to balance and wholeness! If you feel inspired, I encourage you to listen to your soul.
  Listen to your body. Listen to your inner response to Col’s artwork.
  And if something resonates deeply within you, please purchase it. Not only will you be bringing something beautiful and powerful
  into your own home or office, you will be helping to make Col’s dream
  come true, the universe-directed dream to receive biological treatment. I know I will be buying several pieces of Col’s work for myself
  and to give as gifts. And I know I will not be alone. Col is so loved
  by so many! Sue Elliott Founder/Editor-in-Chief of Law of Attraction Magazine www.LovingMyself.com .................................................. Here's what your donation will be used for .................................................. Phase One: $6,000 Address heavy metal poisoning, remove mercury amalgams,
    including exam, testing, IV, conscious sedation, post-op meds and at
    least a full year of chelation (then retesting and more chelation,
    if required). Phase Two : $36,000 Natural research-based holistic treatments
    prescribed by an M.D. who specializes in complex illness and an
    extensive stay at a treatment center like Paracelsus or The American
    Center for Biological Medicine including testing, treatments and medications. Ongoing: Life! Col has been unable to continue working and has needed to
    instead focus on her healing so your support will enable her to
    create the space to do this. Thank you! .................................................. PS: Contribute any amount you like. Just click the sunny-orange
  ""Contribute"" button on the upper right or the
  ""Contribute"" link below. Either choose a perk or select
  ""No thanks, I just want to contribute"" to type in a
  customized dollar amount. Thank you for helping!",https://fundrazr.com/HelpColHeal
520,Please help my Sweet Little Jack fight cancer! ❤️�,U.S. Dollar,,of $200k goal,9,"DONATE As
  much or as little as you can - It will all help and it all matters to Jack! ""All"" funds will be used to offset any treatment costs not
  covered by medical insurance and to help Jack and his family manage
  additional financial concerns such as ancilliary bills/expenses
  related to his care and potential loss of income while he is being
  cared for. 100% of any funds left over will be donated to a child cancer
  (Neuroblastoma) charity - to continue the fight for other children. GO VIRAL! Share this page with as many people as you can! By ""Going Viral"", you will radically increase the odds of
  Jack getting the help that he needs. There are many good people out
  there that may care enough to help - we just have to let them know
  that they can - and that it will make all the difference! MY THOUGHTS While our world has been so harshly upended, I will also tell you
  that I believe, in my heart of hearts that HE WILL get through this! Though Jack's life has suddenly become a life of hospitals & of
  change, that he has demonstrated resilience, courage & a tolerance
  for his situation that most likely, you or I could not. He is a little
  trooper who has still not lost his goofball nature! Love always, Amanda aka Mom",https://fundrazr.com/friends-of-jack
350,Help papaw and I see color with Enchroma glasses,U.S. Dollar,,of $1.1k goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/a1IDn3
450,Help Josh with red-green colorblindness!,U.S. Dollar,"Nov 24, 2017",of $400 goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/f1Horf
100,Help Popo and his grandson James see the colors,U.S. Dollar,"Dec 17, 2017",of $700 goal,1,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/Popo-and-James
380,Disabled Person Needing Break From Abuse At Work,U.S. Dollar,"Jan 9, 2018",of $2k goal,5,"I need to take a mental health break from work because of the amount
  of abuse I go through to be there. To take a month off from work, I
  would just need $1200. I'd also like to acquire the means to defend
  myself from abuse before going back again. I'd also like to buy my friend's car. I need a car because without
  one, I don't eat well. I can't prepare proper meals because of
  executive dysfunction & I can't walk to food because of physical
  Disability. I'm basically trapped at my place eating barely enough all
  day while my partner is at work. My friend said they would sell me
  their car for just $800, but I haven't been able to save up enough to
  buy it. Please help me out by sharing or donating. To be okay for the month, I need $300 by the 20th & another $900
  by the 1st of December.",https://fundrazr.com/81Ie7f
